ambulances,,,,,,,,,,,Ambulance deployment determined by results from running local search script: JEMSS/example/scripts/deployment_search.jl
index,stationIndex,class,unitName,crossStreetx,crossStreety,tour1Start,tour1End,tour2Start,tour2End,tour3Start,tour3End
1,1,2,03C,-73.86498642927846,40.830064812642945,0.25,0.6041666666666666,0.6041666666666666,0.9583333333333334,,
2,1,2,03F,-73.8544358719104,40.83296412387887,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.3333333333333333,,
3,1,1,03U,-73.87011601684496,40.827177772419645,0.25,0.75,0.75,0.25,,
4,2,1,20Y,-73.86432599209616,40.8456046065634,0.375,0.875,0.875,0.375,,
5,3,1,18X,-73.89086708137124,40.84724940262827,0.3125,0.8125,0.8125,0.3125,,
6,1,2,03I,-73.86654888535766,40.832959562440394,0.3333333333333333,0.6875,0.6875,0.041666666666666664,,
7,4,1,27V,-73.88778769634621,40.870749336915104,0.25,0.75,0.75,0.25,,
8,5,2,27C,-73.9111150103609,40.89876000053228,0.25,0.75,0.75,0.25,,
9,6,1,C26,-73.90070135665536,40.830710421238784,0.22916666666666666,0.7291666666666666,0.7291666666666666,0.22916666666666666,,
10,7,2,20D,-73.8648137754257,40.85444340839009,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
11,1,2,P03,-73.85665607411055,40.82895412791172,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
12,8,2,19A,-73.90078779235733,40.85998555724011,0.4166666666666667,0.7708333333333334,0.7708333333333334,0.125,,
13,4,2,19P,-73.90396411362917,40.854959854227104,0.375,0.7291666666666666,0.7291666666666666,0.08333333333333333,,
14,1,2,03O,-73.8773761420524,40.833770203046264,0.4791666666666667,0.8333333333333334,0.8333333333333334,0.1875,,
15,8,1,C18,-73.89591798578603,40.84402954379905,0.25,0.75,0.75,0.25,,
16,6,2,P26,-73.88611369777794,40.83481401083422,0.2708333333333333,0.7708333333333334,0.7708333333333334,0.2708333333333333,,
17,8,2,18C,-73.88278705615595,40.841296340702186,0.375,0.7291666666666666,0.7291666666666666,0.08333333333333333,,
18,9,2,17E,-73.91585980340261,40.8338459611403,0.2916666666666667,0.6458333333333334,0.6458333333333334,0.0,,
19,7,2,15G,-73.83715618737583,40.860792108805214,0.25,0.75,0.75,0.25,,
20,7,2,X20,-73.82941404789037,40.84596173429831,0.2708333333333333,0.7708333333333334,0.7708333333333334,0.2708333333333333,,
21,1,2,03L,-73.88251872812363,40.829515762178374,0.3958333333333333,0.75,0.75,0.10416666666666667,,
22,9,2,17C,-73.92036645293865,40.83354998782049,0.2708333333333333,0.7708333333333334,0.7708333333333334,0.2708333333333333,,
23,10,2,19N,-73.9097475335546,40.84826204886625,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.3333333333333333,,
24,1,1,C03,-73.84376041784517,40.817867916306035,0.22916666666666666,0.7291666666666666,0.7291666666666666,0.22916666666666666,,
25,1,2,03J,-73.86350734788395,40.82358279112148,0.3541666666666667,0.7083333333333334,0.7083333333333334,0.0625,,
26,7,1,15W,-73.82659678301701,40.87294622355414,0.22916666666666666,0.7291666666666666,0.7291666666666666,0.22916666666666666,,
27,11,1,M21,-73.91447237797821,40.818507371778175,0.375,0.7083333333333334,0.7083333333333334,0.041666666666666664,,
28,7,2,20C,-73.82036495789026,40.84414197667273,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
29,12,1,C55,-73.91711533004501,40.823883552238726,0.22916666666666666,0.7291666666666666,0.7291666666666666,0.22916666666666666,,
30,1,2,03D,-73.85225591544246,40.823612839652284,0.3125,0.8125,0.8125,0.3125,,
31,10,1,17S,-73.92048256445888,40.848272692934586,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
32,7,2,15D,-73.83565763385245,40.86751279693661,0.22916666666666666,0.7291666666666666,0.7291666666666666,0.22916666666666666,,
33,13,1,C15,-73.85893108273119,40.891000950688266,0.22916666666666666,0.7291666666666666,0.7291666666666666,0.22916666666666666,,
34,14,2,82C,-73.9143305481578,40.808005962456534,0.375,0.875,,,,
35,7,2,20F,-73.86547329928794,40.83768471216819,0.4583333333333333,0.8125,0.8125,0.16666666666666666,,
36,5,2,27E,-73.9044354738592,40.89016654744393,0.375,0.875,0.875,0.375,,
37,12,1,17X,-73.90919936436435,40.83676677457271,0.20833333333333334,0.7083333333333334,0.7083333333333334,0.20833333333333334,,
38,13,2,15E,-73.86175590430143,40.85965445460513,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
39,14,1,C14,-73.92565728919055,40.81703032163166,0.22916666666666666,0.7291666666666666,0.7291666666666666,0.22916666666666666,,
40,8,2,P18,-73.91077633685444,40.85194624380714,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
41,14,1,14Y,-73.90749509674949,40.81490923446715,0.2708333333333333,0.7708333333333334,0.7708333333333334,0.2708333333333333,,
42,4,2,19O,-73.91960033362251,40.853333222480245,0.4166666666666667,0.7708333333333334,0.7708333333333334,0.125,,
43,3,2,18F,-73.88446113682977,40.85415982625408,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
44,7,2,Z20,-73.8684983119242,40.86137228598224,0.3125,0.8125,0.8125,0.3125,,
45,6,2,03A,-73.88777412000165,40.8252338342827,0.25,0.75,0.75,0.25,,
46,6,2,26C,-73.90971383781404,40.8304790384878,0.375,0.7291666666666666,0.7291666666666666,0.08333333333333333,,
47,3,2,19I,-73.89877756994444,40.85537271065528,0.375,0.875,0.875,0.375,,
48,12,2,26F,-73.9147620548454,40.8275652473828,0.3958333333333333,0.75,0.75,0.10416666666666667,,
49,14,2,14A,-73.92053880548995,40.80724196923989,0.25,0.75,0.75,0.25,,
50,8,2,82K,-73.9097475335546,40.84826204886625,0.4583333333333333,0.9583333333333334,,,,
