miscData,,,,,,,,,
startTime,,,,,,,,,
0,,,,,,,,,
,,,,,,,,,,
calls,,,,,,,,,
index,priority,x,y,arrivalTime,dispatchDelay,onSceneDuration,transport,hospitalIndex,handoverDuration,atom,CCC,recommendedAmbulanceClass
37,2,-73.88958542,40.81683125,0.03396990740740741,0.00020834333333333334,0.008576388888888889,1,23,0.03577546296296296,041CA,GED,BLS
38,2,-73.86679739,40.84340652,0.034305555555555554,0.0002546396296296296,0.00619212962962963,1,65,0.02934027777777778,043RB,GED,BLS
39,3,-73.8913806653553,40.861700617889845,0.0347337962962963,0.0001273248148148148,0.0,0,,0.0,052GA,None,BLS
40,2,-73.78925976584331,40.847369137388036,0.035104166666666665,0.0007754729629629631,0.008425925925925925,1,21,0.0146875,045IB,GED,BLS
41,2,-73.8804796,40.82745196,0.03851851851851852,0.00042825074074074075,0.0,0,,0.0,043EC,None,BLS
42,1,-73.8963956786699,40.82876324139861,0.03863425925925926,0.0002199174074074074,0.0,0,,0.0,042EB,None,BLS
43,2,-73.8766119,40.83107895,0.039317129629629625,0.0004051025925925926,0.0,0,,0.0,043HA,None,BLS
44,1,-73.89065554,40.86393409,0.03960648148148148,0.0009490840740740741,0.0,0,,0.0,052GA,None,ALS
45,1,-73.90011792,40.85395684,0.04005787037037037,0.0002893618518518519,0.007060185185185184,1,,0.022476851851851855,046CA,None,BLS
46,3,-73.87700432,40.82449268,0.04017361111111111,1e-08,0.0,0,,0.0,043ED,nan,BLS
47,1,-73.87700432,40.82449268,0.04025462962962963,0.0007060285185185185,0.0,0,,0.0,043ED,None,ALS
48,3,-73.87700432,40.82449268,0.04210648148148149,1e-08,0.0,0,,0.0,043ED,nan,BLS
49,2,-73.83316581,40.88104717,0.04232638888888889,0.00047454703703703703,0.019085648148148147,1,21,0.02119212962962963,047GE,GED,BLS
50,2,-73.89234924,40.84660001,0.04486111111111111,0.0004398248148148148,0.009502314814814816,1,19,0.012314814814814815,048CA,GED,BLS
51,1,-73.88254738,40.8463695,0.04545138888888889,0.00024306555555555552,0.012719907407407407,1,63,0.02802083333333333,048IA,GED,ALS
52,1,-73.92714381874927,40.81094883686131,0.04631944444444445,0.00010417666666666667,0.004143518518518519,1,23,0.028333333333333332,040HA,ATRAUM,BLS
53,1,-73.92729539826435,40.811080679255745,0.04681712962962963,0.0001273248148148148,0.0,0,,0.0,040HA,nan,BLS
54,2,-73.91417151,40.83987388,0.04703703703703704,6.945444444444444e-05,0.010972222222222223,1,19,0.03144675925925926,044TA,PGED,BLS
55,2,-73.92729539826435,40.811080679255745,0.04822916666666666,1e-08,0.0,0,,0.0,040HA,nan,BLS
56,2,-73.91437424,40.8429583,0.04913194444444444,0.00019676925925925926,0.01869212962962963,1,19,0.021319444444444443,044TA,PGED,BLS
57,1,-73.93051426,40.81674381,0.04925925925925926,0.00013889888888888888,0.0,0,,0.0,040HA,None,ALS
58,1,-73.89728999,40.86355736,0.0502199074074074,0.0010301025925925926,0.007534722222222221,1,63,0.022048611111111113,052DA,GED,ALS
59,3,-73.89362629,40.82756161,0.05164351851851851,0.0006365840740740741,0.0,0,,0.0,042EB,None,BLS
60,1,-73.87712634853436,40.862152478902765,0.052187500000000005,0.00187501,0.0,0,,0.0,052PB,None,ALS
61,1,-73.9158209,40.83525212,0.053032407407407396,0.0009606581481481481,0.0,0,,0.0,044IA,None,ALS
62,1,-73.91779200840796,40.81609988084706,0.053043981481481484,0.0010416766666666666,0.0,0,,0.0,040GA,None,ALS
63,2,-73.86215891,40.87650323,0.053148148148148146,0.001134269259259259,0.0,0,,0.0,047BA,None,BLS
64,2,-73.88110681369984,40.83911253342264,0.05403935185185185,0.0003935285185185185,0.016481481481481482,1,63,0.02144675925925926,048HA,GED,BLS
65,2,-73.87712934,40.87248182,0.056805555555555554,0.00010417666666666667,0.007534722222222221,1,25,0.022233796296296297,052MA,CADULT,BLS
66,2,-73.91155542,40.85282406,0.0587037037037037,0.00038195444444444446,0.0,0,,0.0,046JA,None,BLS
67,2,-73.93002020924122,40.816994495742506,0.060173611111111115,1e-08,0.007013888888888889,1,23,0.029699074074074072,040HA,ATRAUM,BLS
68,3,-73.88499046,40.87329824,0.06040509259259259,0.005636584074074074,0.0,0,,0.0,052JB,None,BLS
69,2,-73.91294467,40.83233414,0.06046296296296296,0.00035880629629629634,0.013807870370370371,1,19,0.03025462962962963,044JA,GED,BLS
70,1,-73.91062657,40.84822475,0.06060185185185185,0.0008796396296296297,0.01068287037037037,1,19,0.028229166666666666,046EA,PGED,ALS
71,3,-73.84586896,40.8497883,0.06121527777777778,1e-08,0.0,0,,0.0,043UD,nan,BLS
72,3,-73.8969265960367,40.86625092756323,0.061643518518518514,0.0039004729629629627,0.004930555555555555,1,25,0.04490740740740742,052DA,AEDP,BLS
73,3,-73.88538855,40.87386068,0.06194444444444445,0.002824084074074074,0.0030671296296296297,1,25,0.03373842592592593,052JB,AEDP,BLS
74,1,-73.83511328,40.84977007,0.06267361111111111,0.00048612111111111104,0.019756944444444445,1,18,0.022048611111111113,045GB,GED,BLS
75,1,-73.88948934,40.84679044,0.06395833333333333,0.0001273248148148148,0.010925925925925924,1,63,0.026238425925925925,048CA,GED,BLS
76,2,-73.88450028,40.83101495,0.06467592592592593,0.00032408407407407406,0.0,0,,0.0,043HB,None,BLS
77,2,-73.91162821,40.82992034,0.06930555555555555,0.0004051025925925926,0.02013888888888889,1,19,0.03552083333333333,044JA,GED,BLS
78,2,-73.84592194,40.81971416,0.07078703703703704,0.0009838062962962964,0.02162037037037037,1,18,0.028703703703703703,043BA,GED,BLS
79,2,-73.90511616,40.85767628,0.07104166666666666,0.00027778777777777777,0.01596064814814815,1,,0.013599537037037037,046KA,GED,BLS
80,1,-73.89642842,40.85549638,0.07295138888888889,0.0006481581481481482,0.00837962962962963,1,19,0.024710648148148148,046CA,GED,ALS
81,1,-73.89644171175607,40.85490664441833,0.07344907407407407,0.00027778777777777777,0.0,0,,0.0,046CA,None,ALS
82,3,-73.89167664107276,40.819819358082874,0.07371527777777778,0.013206028518518518,0.0,0,,0.0,041GA,None,BLS
83,2,-73.91381554,40.82978175,0.0740625,0.00030093592592592594,0.017361111111111112,1,23,0.027476851851851853,044HA,PGED,BLS
84,1,-73.90701624,40.85577452,0.07633101851851852,0.00016204703703703703,0.02546296296296296,1,19,0.026087962962962966,046KA,GED,ALS
85,1,-73.88399612068017,40.84226914840687,0.07791666666666668,0.00020834333333333334,0.010034722222222221,1,65,0.023576388888888893,048GA,GED,BLS
86,2,-73.8345251080223,40.84528011895495,0.07828703703703703,0.00018519518518518517,0.0,0,,0.0,045GA,None,BLS
87,1,-73.92267584,40.81697101,0.07943287037037038,0.0007523248148148148,0.00846064814814815,1,6,0.014085648148148151,040IA,GED,ALS
88,1,-73.89406878,40.81743932,0.07968750000000001,0.0005671396296296296,0.018819444444444448,1,23,0.05123842592592592,041GA,GED,ALS
89,1,-73.92207849,40.82703331,0.08056712962962963,0.0003935285185185185,0.020300925925925927,1,23,0.0358912037037037,044GB,GED,ALS
90,2,-73.91974438,40.84312474,0.08246527777777778,8.102851851851851e-05,0.019930555555555556,1,19,0.01621527777777778,044MB,PGED,BLS
91,2,-73.91798974,40.8210432,0.08298611111111111,4.6306296296296296e-05,0.0,0,,0.0,040GA,None,BLS
92,1,-73.82295043,40.81865182,0.08299768518518519,0.0010763988888888888,0.0,0,,0.0,045BB,None,BLS
93,2,-73.88505304,40.85207018,0.08369212962962963,0.0004629729629629629,0.0,0,,0.0,048NA,None,BLS
94,2,-73.89754425,40.8954658,0.08436342592592593,0.00010417666666666667,0.0,0,,0.0,050IA,None,BLS
95,2,-73.84596264,40.89982368,0.0880324074074074,3.4732222222222224e-05,0.0,0,,0.0,047JB,None,BLS
96,2,-73.91804879,40.84952136,0.0901388888888889,0.0007754729629629631,0.0,0,,0.0,046MB,None,BLS
97,1,-73.90146397,40.86343491,0.0933912037037037,0.0003935285185185185,0.00769675925925926,1,63,0.028125,052CA,ATRAUM,BLS
98,2,-73.90464171,40.84510566,0.09395833333333335,0.0003356581481481481,0.024560185185185185,1,19,0.03135416666666666,046AA,GED,BLS
99,1,-73.91776888,40.82278535,0.09467592592592594,0.0002546396296296296,0.01857638888888889,1,23,0.03953703703703703,040GA,GED,BLS
100,2,-73.92098854,40.84260604,0.09550925925925925,0.00023149148148148146,0.0,0,,0.0,044MB,None,BLS
101,2,-73.91284766,40.83585567,0.09616898148148147,0.00034723222222222223,0.0,0,,0.0,044QA,None,BLS
102,2,-73.8961384,40.85414162,0.09697916666666667,0.0015162137037037036,0.01087962962962963,1,63,0.026331018518518517,048MC,GED,BLS
103,2,-73.90611302,40.81042698,0.09747685185185186,0.0010648248148148148,0.01423611111111111,1,23,0.034722222222222224,040BB,ATRAUM,BLS
104,1,-73.84423599,40.87715062,0.09832175925925928,0.0001273248148148148,0.012291666666666666,1,25,0.03310185185185185,047DC,GED,ALS
105,2,-73.88162989,40.82810478,0.0989236111111111,9.260259259259258e-05,0.00986111111111111,1,21,0.036006944444444446,043EC,ATRAUM,BLS
106,1,-73.88343042334026,40.82272071952018,0.0998148148148148,0.0011574174074074075,0.024907407407407406,1,21,0.029305555555555557,043CC,GED,BLS
107,2,-73.88987077,40.85530648,0.09996527777777776,0.0010416766666666666,0.0,0,,0.0,048PA,None,BLS
108,2,-73.83601520590297,40.850466808762675,0.10019675925925925,0.00020834333333333334,0.012037037037037035,1,21,0.018969907407407408,043UH,GED,BLS
109,3,-73.87994234,40.84420165,0.1004050925925926,0.00037038037037037035,0.0,0,,0.0,048IA,None,BLS
110,2,-73.88610987363045,40.840470724742765,0.10179398148148149,0.00037038037037037035,0.011180555555555556,1,63,0.02798611111111111,042CD,ATRAUM,BLS
111,2,-73.8952937499023,40.84520161042447,0.10209490740740741,1e-08,0.0,0,,0.0,048BA,nan,BLS
112,1,-73.89065656,40.82947189,0.10347222222222223,6.945444444444444e-05,0.033165509259259256,1,63,0.02663773148148148,042FA,GED,ALS
113,2,-73.92282961,40.8297624,0.10396990740740741,0.0005671396296296296,0.009884259259259258,1,23,0.03446759259259259,044FA,GED,BLS
114,2,-73.90011792,40.85395684,0.10751157407407408,0.0002199174074074074,0.0,0,,0.0,046CA,None,BLS
115,2,-73.8819759,40.85662998,0.10831018518518519,0.0005671396296296296,0.010949074074074075,1,63,0.025208333333333333,048NA,GED,BLS
116,2,-73.89065656,40.82947189,0.10833333333333334,0.0006365840740740741,0.0,0,,0.0,042FA,nan,BLS
117,2,-73.88831242060718,40.84168329588793,0.10837962962962962,1e-08,0.0,0,,0.0,048FA,nan,BLS
118,2,-73.92098854,40.84260604,0.10862268518518518,0.0004398248148148148,0.014537037037037038,1,,0.04215277777777778,044MB,ATRAUM,BLS
119,1,-73.93010959913208,40.83164035972475,0.1097800925925926,0.0001736211111111111,0.015474537037037038,1,23,0.030983796296296297,044DA,ATRAUM,BLS
120,3,-73.90017982,40.85077643,0.10996527777777777,0.00037038037037037035,0.009282407407407408,1,19,0.03949074074074074,046BA,GED,BLS
121,2,-73.89780857,40.8805244,0.11009259259259259,3.4732222222222224e-05,0.0,0,,0.0,050AB,None,BLS
122,2,-73.88986349,40.83336805,0.11040509259259258,0.00010417666666666667,0.0,0,,0.0,042FB,None,BLS
123,1,-73.90986347,40.82641632,0.11115740740740741,0.0005671396296296296,0.011736111111111109,1,23,0.031122685185185187,042GA,GED,BLS
124,1,-73.85943693,40.86158066,0.11127314814814813,0.0013194544444444442,0.028310185185185185,1,21,0.033726851851851855,047NA,GED,BLS
125,2,-73.91254859,40.80667409,0.11190972222222223,0.0005902877777777778,0.012141203703703704,1,23,0.03961805555555555,040CA,OBS,BLS
126,2,-73.86179499,40.86871249,0.11248842592592591,6.945444444444444e-05,0.026793981481481485,1,21,0.030300925925925926,047NC,CADULT,BLS
127,2,-73.87932646,40.88236439,0.11321759259259258,6.945444444444444e-05,0.015555555555555553,1,63,0.02440972222222222,052NA,ATRAUM,BLS
128,3,-73.89558266,40.81630829,0.11328703703703703,0.03739584333333334,0.01693287037037037,1,,0.042847222222222224,041GA,GED,BLS
129,3,-73.90072535921965,40.84518866188702,0.11479166666666668,1e-08,0.0,0,,0.0,048AA,nan,ALS
130,2,-73.90072535921965,40.84518866188702,0.11663194444444443,1e-08,0.0,0,,0.0,048AB,nan,BLS
131,3,-73.88718440042567,40.86749888560428,0.11771990740740741,0.0009259359259259259,0.0,0,,0.0,052HA,None,BLS
132,2,-73.86905644,40.85843774,0.1190625,0.0014120470370370369,0.0,0,,0.0,047NB,None,BLS
133,1,-73.86849661,40.87863519,0.12100694444444444,0.0002546396296296296,0.021238425925925924,1,25,0.026493055555555558,047BB,GED,BLS
134,1,-73.8807020584773,40.82701341340949,0.1215162037037037,0.00047454703703703703,0.02756944444444445,1,65,0.026030092592592594,043EC,PGED,ALS
135,2,-73.89650299709623,40.84804493608317,0.12185185185185186,6.945444444444444e-05,0.0,0,,0.0,048AC,None,BLS
136,1,-73.84948684,40.83311206,0.12372685185185184,0.0001736211111111111,0.017141203703703704,1,21,0.02935185185185185,043GB,GED,BLS
137,1,-73.82077719,40.82204511,0.12475694444444445,0.00010417666666666667,0.017361111111111112,1,,0.02934027777777778,045BB,GED,ALS
138,1,-73.88614628999623,40.82763922302383,0.1250578703703704,0.0010416766666666666,0.015179398148148148,1,63,0.02783564814814815,042FA,ATRAUM,ALS
139,2,-73.89610439,40.85418113,0.1254050925925926,0.01074075074074074,0.0,0,,0.0,048MC,None,BLS
140,2,-73.83570995,40.83785597,0.12997685185185184,0.0001273248148148148,0.015486111111111112,1,21,0.028969907407407406,045EG,ATRAUM,BLS
141,2,-73.87947488,40.88663349,0.13006944444444446,0.00015047296296296297,0.0,0,,0.0,050BA,None,BLS
142,1,-73.90056914,40.815295,0.13336805555555556,0.0004976951851851853,0.014259259259259261,1,6,0.013344907407407408,041EA,GED,BLS
143,2,-73.92269227,40.81916956,0.13343750000000001,0.0024421396296296295,0.01962962962962963,1,6,0.028101851851851854,040GA,GED,BLS
144,2,-73.89788465,40.85203555,0.13662037037037036,0.009340287777777777,0.0,0,,0.0,048AB,None,BLS
145,2,-73.90835001,40.85432813,0.13708333333333333,0.0020601951851851852,0.0,0,,0.0,046KA,None,BLS
146,2,-73.88840205,40.83317996,0.13756944444444444,0.04219908407407408,0.0,0,,0.0,042FB,None,BLS
147,2,-73.91980164,40.83713895,0.13788194444444446,0.012627324814814815,0.011087962962962964,1,19,0.03940972222222222,044PA,GED,BLS
148,1,-73.90916149,40.81658708,0.13931712962962964,0.0003356581481481481,0.014525462962962964,1,6,0.03951388888888889,040EA,CADULT,BLS
149,2,-73.91377565,40.83672224,0.13942129629629632,0.0038426025925925923,0.0,0,,0.0,044QA,None,BLS
150,2,-73.88960334,40.84009433,0.1405324074074074,0.0007986211111111111,0.01355324074074074,1,63,0.02584490740740741,048FA,GED,BLS
151,2,-73.89463256850914,40.86055360381105,0.14078703703703702,0.0006365840740740741,0.0,0,,0.0,046DA,None,BLS
152,1,-73.91025967,40.84717689,0.14146990740740742,0.0016203803703703703,0.0,0,,0.0,046EA,None,ALS
153,1,-73.91112731,40.8749675,0.14344907407407406,0.0006597322222222222,0.019791666666666666,1,14,0.03172453703703703,050EC,GED,ALS
154,1,-73.86887604,40.83242442,0.1439351851851852,0.0006597322222222222,0.011574074074074075,1,21,0.046597222222222213,043IA,ATRAUM,BLS
155,3,-73.85544089,40.88639996,0.1463773148148148,0.0021064914814814813,0.0,0,,0.0,047EA,None,BLS
156,1,-73.87877364,40.88237084,0.14940972222222224,0.0037847322222222222,0.01673611111111111,1,25,0.03878472222222223,052NA,GED,ALS
157,2,-73.84713468,40.87786811,0.14956018518518518,0.00038195444444444446,0.016701388888888887,1,24,0.016168981481481482,047CA,GED,BLS
158,2,-73.90279101,40.87505345,0.15003472222222222,0.007314824814814815,0.01258101851851852,1,,0.028622685185185185,050DB,ATRAUM,BLS
159,1,-73.86489056,40.88739731,0.15136574074074075,0.0011689914814814815,0.028078703703703703,1,24,0.028634259259259262,047EB,GED,ALS
160,2,-73.8952937499023,40.84520161042447,0.15202546296296296,1.1584074074074073e-05,0.008819444444444444,1,63,0.05555555555555555,048BA,GED,BLS
161,1,-73.89754492,40.85566802,0.1536921296296296,0.00024306555555555552,0.0,0,,0.0,046CA,None,ALS
162,2,-73.90381137,40.85431683,0.15375,1e-08,0.0,0,,0.0,046GA,nan,BLS
163,2,-73.91029599,40.84947394,0.15412037037037038,0.03408565814814815,0.0,0,,0.0,046EA,None,BLS
164,3,-73.86228725,40.86816176,0.15434027777777778,0.01252315814814815,0.017743055555555557,1,25,0.027141203703703706,047NC,AEDP,BLS
165,2,-73.92531591,40.81035281,0.15498842592592593,0.008888898888888889,0.0,0,,0.0,040IA,None,BLS
166,1,-73.90720597,40.84594574,0.15548611111111113,0.00034723222222222223,0.013229166666666667,1,19,0.029768518518518517,046AA,GED,ALS
167,2,-73.86887604,40.83242442,0.1558101851851852,0.001261584074074074,0.024745370370370372,1,21,0.011278935185185185,043IA,GED,BLS
168,1,-73.90441292,40.84690295,0.1566550925925926,0.001898158148148148,0.0,0,,0.0,046AA,None,BLS
169,1,-73.88710277,40.82658915,0.15815972222222222,0.0005787137037037038,0.002013888888888889,1,,0.01951388888888889,041HA,ATRAUM,BLS
170,2,-73.88461924267911,40.833077731836795,0.1605787037037037,0.0027662137037037034,0.0,0,,0.0,042DA,None,BLS
171,2,-73.92194631143852,40.84104399525387,0.16063657407407408,1e-08,0.0,0,,0.0,044MB,nan,BLS
172,1,-73.86672387,40.83817984,0.16103009259259257,0.0008101951851851852,0.015439814814814816,1,21,0.0241087962962963,043JB,GED,BLS
173,1,-73.92146291355864,40.84028887197073,0.1613888888888889,0.0006481581481481482,0.009386574074074075,1,,0.039386574074074074,044MA,None,ALS
174,2,-73.90765971926908,40.843687576531316,0.16268518518518518,1e-08,0.0035763888888888894,1,19,0.020787037037037038,044UA,GED,BLS
175,1,-73.90244112,40.81849613,0.1667939814814815,3.4732222222222224e-05,0.013680555555555555,1,,0.034826388888888886,040DA,GED,ALS
176,2,-73.88610987363045,40.840470724742765,0.16833333333333333,0.0166088062962963,0.0,0,,0.0,042CD,None,BLS
177,2,-73.90858479,40.86180106,0.16921296296296295,5.788037037037037e-05,0.03844907407407407,1,,0.0366087962962963,052BB,OBS,BLS
178,2,-73.86887604,40.83242442,0.16937500000000003,1e-08,0.0,0,,0.0,043IA,nan,BLS
179,2,-73.9194773,40.83466538,0.1696527777777778,1e-08,0.0,0,,0.0,044FB,nan,BLS
180,1,-73.92194631143852,40.84104399525387,0.1697685185185185,0.0004629729629629629,0.0,0,,0.0,044MB,nan,BLS
181,2,-73.90381137,40.85431683,0.1702662037037037,0.016400472962962966,0.021388888888888888,1,63,0.02259259259259259,046GA,ATRAUM,BLS
182,2,-73.91715016,40.83270318,0.1705902777777778,0.023587972962962965,0.0,0,,0.0,044IA,None,BLS
183,2,-73.91953417,40.8343627,0.17109953703703704,1e-08,0.0,0,,0.0,044FB,nan,BLS
184,2,-73.8283618511653,40.875012730628285,0.17225694444444448,0.018333343333333335,0.015092592592592593,1,18,0.0416550925925926,045JE,GED,BLS
185,1,-73.83477637,40.87843388,0.17613425925925927,0.0009953803703703704,0.01539351851851852,1,18,0.029988425925925922,047GE,GED,ALS
186,2,-73.89154768,40.86748923,0.17730324074074075,0.02836806555555556,0.02972222222222222,1,25,0.024652777777777777,052GA,GED,BLS
187,2,-73.85806946,40.90047407,0.17803240740740742,0.03418982481481482,0.0,0,,0.0,047IH,None,BLS
188,2,-73.91113279,40.86145565,0.17805555555555552,0.034340287777777784,0.014872685185185185,1,,0.029120370370370366,052AA,GED,BLS
189,1,-73.91560587,40.83023679,0.17822916666666666,5.788037037037037e-05,0.0,0,,0.0,044HA,None,ALS
190,2,-73.8922528,40.84955115,0.18011574074074074,1e-08,0.0,0,,0.0,048BC,nan,BLS
191,2,-73.92798742,40.83438453,0.18152777777777776,0.014421306296296295,0.020023148148148148,1,23,0.03836805555555555,044DA,GED,BLS
192,2,-73.89330625,40.87144561,0.1834259259259259,0.0002199174074074074,0.019618055555555555,1,25,0.042060185185185194,052EA,GED,BLS
193,3,-73.91416469,40.84789245,0.1845486111111111,1e-08,0.0,0,,0.0,046IB,nan,BLS
194,2,-73.89806215,40.86174645,0.18473379629629627,0.015729176666666667,0.001099537037037037,1,,0.038599537037037036,046HA,None,BLS
195,2,-73.88338253189656,40.84386320610565,0.1860763888888889,0.004513898888888889,0.0,0,,0.0,048GA,None,BLS
196,1,-73.82914331,40.82904164,0.18641203703703704,0.00032408407407407406,0.019050925925925926,1,18,0.023819444444444445,045AH,GED,BLS
197,2,-73.86500688,40.8716069,0.1899421296296296,0.003252324814814815,0.0,0,,0.0,047AB,None,BLS
198,2,-73.90033617,40.84389564,0.19289351851851852,0.02545139888888889,0.007719907407407408,1,63,0.020497685185185185,048AA,GED,BLS
199,1,-73.81694679,40.83730865,0.1935069444444444,0.00027778777777777777,0.0,0,,0.0,045FA,None,ALS
200,1,-73.91080974,40.84583279,0.1959490740740741,9.260259259259258e-05,0.018900462962962963,1,19,0.02943287037037037,046EA,GED,ALS
201,2,-73.88916547,40.8439582,0.1964699074074074,0.00030093592592592594,0.017118055555555556,1,19,0.03834490740740741,048FB,GED,BLS
202,2,-73.87863312,40.88538801,0.19857638888888887,0.004398158148148148,0.011319444444444444,1,25,0.025231481481481483,052NA,AEDP,BLS
203,2,-73.92026358,40.81766125,0.19947916666666665,0.01615741740740741,0.015590277777777778,1,23,0.03189814814814815,040GA,ATRAUM,BLS
204,2,-73.9226464505211,40.8201434676481,0.19979166666666667,0.019178250740740744,0.0,0,,0.0,040GA,None,BLS
205,2,-73.89372995,40.85854991,0.20189814814814813,0.00019676925925925926,0.01744212962962963,1,63,0.024293981481481482,048PB,GED,BLS
206,1,-73.89372995,40.85854991,0.2025810185185185,1e-08,0.0,0,,0.0,048PB,nan,ALS
207,2,-73.91080974,40.84583279,0.20365740740740737,1e-08,0.01704861111111111,1,63,0.012083333333333333,046EA,ATRAUM,BLS
208,2,-73.90651537,40.87545553,0.20850694444444443,0.016539361851851852,0.021747685185185186,1,63,0.03085648148148148,050ED,ATRAUM,BLS
209,2,-73.88912252,40.87077459,0.20895833333333333,0.01074075074074074,0.01542824074074074,1,25,0.030324074074074073,052HB,GED,BLS
210,2,-73.90360868309519,40.860781028024626,0.20903935185185185,1e-08,0.0,0,,0.0,052BA,nan,BLS
211,2,-73.92531591,40.81035281,0.2100115740740741,1e-08,0.0,0,,0.0,040IA,nan,BLS
212,2,-73.85900892,40.81797627,0.21047453703703703,0.0015277877777777778,0.012256944444444444,1,,0.03662037037037037,043AD,GED,BLS
213,1,-73.86285009,40.84106764,0.21351851851851852,0.0002199174074074074,0.025891203703703704,1,18,0.03280092592592593,043JC,GED,ALS
