nodes,,,
index,x,y,offRoadAccess,
1.0,-73.92643940000002,40.799808299999995,0.0
2.0,-73.9276635,40.80032560000001,0.0
3.0,-73.931318,40.8021286,0.0
4.0,-73.9326159,40.802680200000005,0.0
5.0,-73.9352228,40.8144025,1.0
6.0,-73.935688,40.81460090000001,1.0
7.0,-73.9348645,40.8282864,0.0
8.0,-73.9344659,40.817178299999995,1.0
9.0,-73.9343477,40.816932400000006,1.0
10.0,-73.9344443,40.8158343,1.0
11.0,-73.9343888,40.814759,0.0
12.0,-73.9349387,40.80669,1.0
13.0,-73.9333826,40.80656900000001,0.0
14.0,-73.9349155,40.8299306,0.0
15.0,-73.9357666,40.8153391,1.0
16.0,-73.9349389,40.81499920000001,0.0
17.0,-73.9371916,40.8340424,1.0
18.0,-73.9360374,40.834936,0.0
19.0,-73.9324189,40.80440780000001,1.0
20.0,-73.9320106,40.803960399999994,0.0
21.0,-73.9303673,40.80256370000001,0.0
22.0,-73.93036520000001,40.8014821,0.0
23.0,-73.9334099,40.802694,1.0
24.0,-73.9328935,40.8021545,0.0
25.0,-73.9342092,40.8068247,1.0
26.0,-73.9348501,40.806301,1.0
27.0,-73.93436440000002,40.818882499999994,0.0
28.0,-73.93425030000002,40.8179047,1.0
29.0,-73.9299121,40.84799009999999,0.0
30.0,-73.9305889,40.846865400000006,0.0
31.0,-73.9069997,40.8734631,1.0
32.0,-73.9313968,40.847429600000005,1.0
33.0,-73.930985,40.8668739,1.0
34.0,-73.9272714,40.86553060000001,1.0
35.0,-73.92923040000001,40.8033203,1.0
36.0,-73.9284613,40.80371290000001,1.0
37.0,-73.920612,40.866758999999995,1.0
38.0,-73.9412123,40.851372299999994,1.0
39.0,-73.9216811,40.8606861,1.0
40.0,-73.925872,40.866025,1.0
41.0,-73.9194167,40.8638064,1.0
42.0,-73.9284054,40.86563099999999,1.0
43.0,-73.9280646,40.86555490000001,1.0
44.0,-73.9348199,40.836594399999996,0.0
45.0,-73.9348455,40.814049,1.0
46.0,-73.9345542,40.8147435,1.0
47.0,-73.9346833,40.814261099999996,1.0
48.0,-73.925005,40.866336000000004,1.0
49.0,-73.919362,40.864809,1.0
50.0,-73.9198485,40.8631688,1.0
51.0,-73.9349057,40.8165367,1.0
52.0,-73.91994180000002,40.79781650000001,0.0
53.0,-73.9227192,40.7981768,0.0
54.0,-73.9318355,40.80785250000001,1.0
55.0,-73.9319782,40.8077903,1.0
56.0,-73.92432600000001,40.845119399999994,0.0
57.0,-73.9238345,40.8449024,0.0
58.0,-73.928722,40.866743,1.0
59.0,-73.9298529,40.8659478,1.0
60.0,-73.9304693,40.86643800000001,1.0
61.0,-73.9293463,40.8672563,1.0
62.0,-73.9280465,40.86617840000001,1.0
63.0,-73.88769,40.867957000000004,1.0
64.0,-73.852761,40.825773000000005,1.0
65.0,-73.83643670000001,40.8889453,1.0
66.0,-73.8373432,40.89131989999999,1.0
67.0,-73.84238700000002,40.9041982,1.0
68.0,-73.842302,40.90397,1.0
69.0,-73.8539909,40.83454309999999,1.0
70.0,-73.854192,40.836151,1.0
71.0,-73.8105009,40.819521300000005,0.0
72.0,-73.8201205,40.822882899999996,0.0
73.0,-73.8472909,40.8293211,0.0
74.0,-73.8502342,40.8302605,0.0
75.0,-73.852733,40.830702800000005,1.0
76.0,-73.8517955,40.8304301,1.0
77.0,-73.85061,40.83008220000001,1.0
78.0,-73.8498648,40.829865500000004,1.0
79.0,-73.8483397,40.8293754,1.0
80.0,-73.8471793,40.82874689999999,1.0
81.0,-73.84251800000001,40.83680700000001,1.0
82.0,-73.9183073,40.8346242,1.0
83.0,-73.9182114,40.834781400000004,1.0
84.0,-73.9184375,40.8039153,1.0
85.0,-73.9188385,40.803343899999994,1.0
86.0,-73.9238102,40.8078043,1.0
87.0,-73.92099800000001,40.8066179,1.0
88.0,-73.9201693,40.8062704,1.0
89.0,-73.929733,40.810511600000005,1.0
90.0,-73.92906539999998,40.810007199999994,1.0
91.0,-73.9122979,40.8029387,1.0
92.0,-73.9154423,40.804258,1.0
93.0,-73.9144317,40.803839,1.0
94.0,-73.829049,40.882622000000005,1.0
95.0,-73.829635,40.88367629999999,1.0
96.0,-73.8302915,40.8850193,1.0
97.0,-73.83017649999998,40.8865602,1.0
98.0,-73.83027310000001,40.8878436,1.0
99.0,-73.8267746,40.87899819999999,1.0
100.0,-73.82776830000002,40.8803375,1.0
101.0,-73.8286892,40.881976,1.0
102.0,-73.90793,40.868451,1.0
103.0,-73.90767840000001,40.8690202,1.0
104.0,-73.8225914,40.8344896,1.0
105.0,-73.8635843,40.8821731,1.0
106.0,-73.860701,40.88124899999999,1.0
107.0,-73.857835,40.880335,1.0
108.0,-73.855336,40.87954100000001,1.0
109.0,-73.852939,40.878780000000006,1.0
110.0,-73.8945087,40.81618300000001,1.0
111.0,-73.8946563,40.816246500000005,1.0
112.0,-73.8803324,40.821305200000005,1.0
113.0,-73.8676564,40.82075270000001,1.0
114.0,-73.86669600000002,40.82088000000001,1.0
115.0,-73.893795,40.85100799999999,1.0
116.0,-73.8916201,40.874483,1.0
117.0,-73.8940668,40.87559650000001,1.0
118.0,-73.914939,40.848796,1.0
119.0,-73.9141481,40.8499804,1.0
120.0,-73.84670050000001,40.9008529,1.0
121.0,-73.898567,40.83022700000001,1.0
122.0,-73.897172,40.830368,1.0
123.0,-73.896696,40.830414,1.0
124.0,-73.895606,40.830524,1.0
125.0,-73.8948248,40.83061240000001,1.0
126.0,-73.8590388,40.8392149,1.0
127.0,-73.9015832,40.88348270000001,1.0
128.0,-73.9070302,40.886597800000004,1.0
129.0,-73.9133046,40.887106499999994,1.0
130.0,-73.8713074,40.85159240000001,0.0
131.0,-73.8707191,40.8535492,0.0
132.0,-73.87242970000001,40.856619200000004,0.0
133.0,-73.8724136,40.85640390000001,0.0
134.0,-73.87236900000002,40.8686213,0.0
135.0,-73.873758,40.8667545,1.0
136.0,-73.87083030000001,40.8654223,1.0
137.0,-73.87222360000001,40.8682633,0.0
138.0,-73.8374825,40.8304922,0.0
139.0,-73.8372574,40.8302154,1.0
140.0,-73.8942469,40.8996888,0.0
141.0,-73.8961477,40.9008626,0.0
142.0,-73.86115960000001,40.9004555,0.0
143.0,-73.8627066,40.896322600000005,0.0
144.0,-73.82852180000002,40.8607915,0.0
145.0,-73.8288775,40.8605128,0.0
146.0,-73.8359929,40.8232447,0.0
147.0,-73.8362298,40.8264126,0.0
148.0,-73.84023230000001,40.8281372,0.0
149.0,-73.8388467,40.82813490000001,0.0
150.0,-73.8693765,40.8804765,0.0
151.0,-73.8704731,40.8783979,1.0
152.0,-73.86654530000001,40.877898200000004,1.0
153.0,-73.8673272,40.8776264,1.0
154.0,-73.8673823,40.87764059999999,1.0
155.0,-73.8670725,40.87707979999999,1.0
156.0,-73.8711512,40.8654402,1.0
157.0,-73.8719118,40.86547110000001,0.0
158.0,-73.9024757,40.8449666,1.0
159.0,-73.90547710000001,40.844917200000005,0.0
160.0,-73.8357369,40.8522708,0.0
161.0,-73.8348738,40.8534026,1.0
162.0,-73.90838210000001,40.8906707,1.0
163.0,-73.90856810000001,40.8906208,1.0
164.0,-73.8706464,40.8763624,0.0
165.0,-73.8699704,40.87773210000002,0.0
166.0,-73.8586515,40.832439300000004,1.0
167.0,-73.8561852,40.83189079999999,0.0
168.0,-73.8662808,40.83489560000001,0.0
