hospitals,,,,,
index,x,y,,Name,address,coordinates (approx) from google maps
45,-73.99727540177695,40.63862963841074,,MAIMONIDES MEDICAL CENTER,4802 Tenth Ave,"40.638630, -73.997275"
46,-73.97999198245574,40.667824119036624,,NEW YORK PRESBYTERIAN-NEW YORK METHODIST HOSPITAL,506 Sixth St,"40.667824, -73.979992"
47,-73.93649991786525,40.677824343300394,,INTERFAITH MEDICAL CENTER (St. Johns),1545 Atlantic Ave,"40.677824, -73.936500"
48,-73.91740672883748,40.70376909076109,,WYCKOFF HEIGHTS MEDICAL CENTER,374 Stockholm St,"40.703769, -73.917407"
49,-74.19578615976468,40.516126546491535,,NORTHWELL HEALTH-STATEN ISLAND UNIVERSITY HOSPITAL SOUTH CAMPUS,375 Seguine Ave,"40.516127, -74.195786"
50,-74.10473084293018,40.63536200643315,,RICHMOND UNIVERSITY MEDICAL CENTER,355 Bard Ave,"40.635362, -74.104731"
51,-73.98439987530851,40.732121395363784,,NEW YORK EYE AND EAR INFIRMARY OF MOUNT SINAI,310 E 14 St,"40.732121, -73.984400"
52,-74.0853890648877,40.58330637515767,,NORTHWELL HEALTH-STATEN ISLAND UNIVERSITY HOSPITAL NORTH CAMPUS,475 Seaview Ave,"40.583306, -74.085389"
53,-73.66867387399031,40.804809348185024,,SAINT FRANCIS HOSPITAL THE HEART CENTER,100 Port Washington Blvd,"40.804809, -73.668674"
54,-73.6415928071996,40.7412004359063,,WINTHROP UNIVERSITY HOSPITAL,259 1st St,"40.741200, -73.641593"
55,-73.63324382560458,40.68815974724139,,MERCY MEDICAL CENTER,1000 N Village Av,"40.688160, -73.633244"
56,-73.881354165748,40.88137928353111,,NYC HEALTH & HOSPITALS NORTH CENTRAL BRONX,3424 Kossuth Ave,"40.881379, -73.881354"
57,-73.92460362174823,40.767530288240934,,MOUNT SINAI HOSPITAL OF QUEENS,25-10 30 Ave,"40.767530, -73.924604"
58,-73.68584359406574,40.68167500240763,,NORTHWELL HEALTH-LONG ISLAND JEWISH VALLEY STREAM,900 Franklin Av,"40.681675, -73.685844"
59,-73.85188403271648,40.72872247294935,,NORTHWELL HEALTH-FOREST HILLS HOSPITAL,102-01 66 Rd,"40.728722, -73.851884"
60,-73.70291600799881,40.777559006677194,,NORTHWELL HEALTH-NORTH SHORE UNIVERSITY HOSPITAL,300 Community Dr,"40.777559, -73.702916"
61,-73.78728545476011,40.91335410324356,,MONTEFIORE NEW ROCHELLE HOSPITAL,16 Guion Pl,"40.913354, -73.787285"
62,-73.55261699495868,40.72537034772769,,NASSAU UNIVERSITY MEDICAL CENTER,2201 Hempstead Tpke,"40.725370, -73.552617"
63,-73.89091756496387,40.85410034133095,,SAINT BARNABAS HOSPITAL,4422 Third Ave,"40.854100, -73.890918"
64,-73.76974149605905,41.02630223246107,,MONTEFIORE MEDICAL CENTER-WHITE PLAINS HOSPITAL,41 East Post Rd,"41.026302, -73.769741"
65,-73.84820633771662,40.84101184134416,,MONTEFIORE MEDICAL CENTER-WESTCHESTER SQUARE,2475 St Raymond Ave,"40.841012, -73.848206"
66,-73.84005597523952,40.91329053020983,,MONTEFIORE MEDICAL CENTER - MOUNT VERNON,12 N 7th Ave,"40.913291, -73.840056"
67,-74.02277115447437,40.60842651341766,,VETERAN AFFAIRS HARBOR HEALTH CARE SYSTEM BROOKLYN CAMPUS,800 Poly Place,"40.608427, -74.022771"
68,-73.948393,40.614131000000015,,MAIMONIDES MIDWOOD COMMUNITY HOSPITAL,2525 Kings Hwy,"40.614131, -73.948393"
69,-73.94249260631001,40.61872144028299,,MOUNT SINAI BROOKLYN,3201 Kings Hwy,"40.618721, -73.942493"
70,-73.97734841432407,40.68978283278689,,BROOKLYN HOSPITAL CENTER,121 Dekalb Ave,"40.689783, -73.977348"
71,-73.8969590677768,40.92958181388358,,SAINT JOSEPHS MEDICAL CENTER,127 S Broadway,"40.929582, -73.896959"
72,-73.88509243138445,40.96820739986563,,SAINT JOHNS RIVERSIDE HOSPITAL,967 N Broadway,"40.968207, -73.885092"
73,-73.83682612513732,40.94164126820695,,NEW YORK PRESBYTERIAN-LAWRENCE HOSPITAL,55 Palmer Av,"40.941641, -73.836826"
74,-74.0226876445183,40.614851612110996,,MAIMONIDES BAY RIDGE,699 92nd St,"40.614852, -74.022688"
